number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,state
43,0.5057772362338068,2025-06-12 16:38:48.624427,2025-06-12 16:44:05.871005,0 days 00:05:17.246578,0.7786207566178629,0.751811349413492,0.04890712707435503,11,60,141,1.221143775342175e-06,COMPLETE
44,0.5049953288455862,2025-06-12 16:44:05.872053,2025-06-12 16:49:48.567323,0 days 00:05:42.695270,0.7091259340219033,0.6713368884334862,0.0251266083657219,10,61,196,2.0477972354649698e-06,COMPLETE
45,0.5048464646797841,2025-06-12 16:49:48.568388,2025-06-12 16:55:04.427818,0 days 00:05:15.859430,0.7705256920253408,0.9927576579127979,0.04354505027313048,9,55,120,1.034648936669442e-06,COMPLETE
46,0.5070739013310558,2025-06-12 16:55:04.428891,2025-06-12 17:00:34.494058,0 days 00:05:30.065167,0.8820564719593031,0.6285128015127898,0.05109402711965865,12,45,142,2.6613671569091768e-08,COMPLETE
47,0.5059045086357333,2025-06-12 17:00:34.495110,2025-06-12 17:05:50.590069,0 days 00:05:16.094959,0.7940507317486128,0.6164334891780443,0.05212900635997212,11,43,138,2.813531985583092e-07,COMPLETE
48,0.5064247846849067,2025-06-12 17:05:50.591113,2025-06-12 17:11:24.253745,0 days 00:05:33.662632,0.8881591717220794,0.5899462531431232,0.03498044768811406,10,41,159,3.0422636435730874e-07,COMPLETE
49,0.5063279821491982,2025-06-12 17:11:24.254791,2025-06-12 17:16:51.769580,0 days 00:05:27.514789,0.8807602181720923,0.5557441891648273,0.03674656670474938,10,43,165,2.4170852801253127e-08,COMPLETE
50,0.504850392983182,2025-06-12 17:16:51.770636,2025-06-12 17:22:07.156704,0 days 00:05:15.386068,0.8744796017732996,0.5292651761599614,0.03794111754363401,8,35,169,2.4646397418665644e-08,COMPLETE
51,0.5051989353534905,2025-06-12 17:22:07.157959,2025-06-12 17:27:29.603100,0 days 00:05:22.445141,0.8387011754961328,0.6066527366695212,0.03291956637547835,10,41,190,3.96389740862468e-07,COMPLETE
52,0.5058837486897256,2025-06-12 17:27:29.604157,2025-06-12 17:32:43.636430,0 days 00:05:14.032273,0.8979228778358896,0.5675604864888104,0.041516641829261236,9,48,155,1.8770096163004697e-08,COMPLETE
53,0.5054406027967349,2025-06-12 17:32:43.637507,2025-06-12 17:38:00.129954,0 days 00:05:16.492447,0.8104368599584619,0.6338439345466449,0.05296925606427225,10,44,216,1.2269289060125424e-07,COMPLETE
54,0.5061977864332762,2025-06-12 17:38:00.130995,2025-06-12 17:43:53.409679,0 days 00:05:53.278684,0.8455018253982922,0.5700837375268851,0.022535749456842127,10,30,167,2.8663452933093796e-08,COMPLETE
55,0.5058684381676299,2025-06-12 17:43:53.410919,2025-06-12 17:49:48.430997,0 days 00:05:55.020078,0.8623721219069301,0.5182888103853371,0.02075472599864583,9,25,178,2.9325875275290784e-08,COMPLETE
56,0.47634855585475105,2025-06-12 17:49:48.432068,2025-06-12 17:55:34.238147,0 days 00:05:45.806079,0.8960463730405348,0.5495535231764932,0.01701726246029359,3,36,231,1.3547229887576787e-08,COMPLETE
57,0.5054991392209993,2025-06-12 17:55:34.239377,2025-06-12 18:01:26.859778,0 days 00:05:52.620401,0.8407466735158216,0.5731779594204196,0.02347957694249758,8,30,165,4.717960391566475e-08,COMPLETE
58,0.5059669336450039,2025-06-12 18:01:26.860846,2025-06-12 18:07:12.607162,0 days 00:05:45.746316,0.96293144381513,0.5898578476059092,0.028741238696259896,10,15,148,8.421808157198609e-08,COMPLETE
59,0.5049132972225803,2025-06-12 18:07:12.608237,2025-06-12 18:12:35.908677,0 days 00:05:23.300440,0.9404824971626838,0.5003256768058166,0.03467964019707008,8,50,157,0.0014985263573449048,COMPLETE
60,0.5022602686937205,2025-06-12 18:12:35.909739,2025-06-12 18:17:26.294802,0 days 00:04:50.385063,0.8575205899644324,0.45083989633186516,0.07982857979206398,9,28,193,4.088986432545278e-06,COMPLETE
61,0.5054742426492344,2025-06-12 18:17:26.295857,2025-06-12 18:23:01.052595,0 days 00:05:34.756738,0.9739708849802524,0.589544531174651,0.029102634288002,10,13,147,1.2298886340137185e-07,COMPLETE
62,0.5056940986644558,2025-06-12 18:23:01.053669,2025-06-12 18:28:49.733009,0 days 00:05:48.679340,0.9425990170858353,0.6559027023506183,0.02717491599187665,10,15,174,9.499246531760877e-08,COMPLETE
